iter	MAE	RMSE
0	1581329.474	2120493.183
1	1558794.721	2094639.338
2	1536682.998	2069531.897
3	1515279.475	2044998.186
4	1494160.522	2020752.877
5	1473683.759	1996839.431
6	1453420.758	1972919.541
7	1433316.377	1949702.842
8	1413845.541	1927179.285
9	1394718.275	1905438.167
10	1376402.456	1883755.042
11	1358844.353	1863508.109
12	1341619.678	1843748.204
13	1324856.184	1824315.129
14	1308350.03	1805169.215
15	1292654.999	1786946.265
16	1276726.31	1768621.506
17	1261435.476	1750933.742
18	1246267.16	1733146.742
19	1231820.467	1716268.854
20	1217285.65	1699280.663
21	1203424.033	1682986.163
22	1189711.752	1667252.315
23	1176308.177	1651429.363
24	1163654.45	1636974.597
25	1151420.3	1622783.322
26	1139613.441	1608860.788
27	1127997.619	1595148.535
28	1116615.921	1581912.708
29	1105560.192	1569040.022
30	1094584.863	1556232.61
31	1083818.178	1543656.357
32	1073740.488	1532072.785
33	1063691.92	1520243.007
34	1053964.871	1508757.57
35	1044803.314	1498027.144
36	1035193.526	1486845.978
37	1026070.459	1476234.332
38	1017316.462	1466188.203
39	1008703.869	1456170.754
40	1000206.5	1446643.038
41	992062.8478	1437305.024
42	984074.0576	1428147.797
43	976306.6031	1419318.853
44	968848.2644	1410818.758
45	961484.5986	1402748.846
46	954223.769	1394396.926
47	947575.7299	1386775.065
48	940721.4851	1378947.27
49	934384.8335	1371819.292
50	928019.274	1364734.996
51	921679.2093	1357315.078
52	915555.6799	1350612.267
53	909524.0679	1344096.931
54	903796.9345	1337683.405
55	898095.1912	1331179.927
56	892587.5171	1324949.895
57	887329.3938	1319102.215
58	882265.6159	1313339.52
59	877041.3811	1307522.99
60	872152.2518	1301998.438
61	867137.1851	1296386.474
62	862470.4795	1291107.405
63	857783.0603	1285931.157
64	853393.5618	1281204.243
65	849006.9225	1276310.156
66	844824.2184	1271551.572
67	840620.4824	1267025.744
68	836581.7632	1262688.966
69	832318.879	1257908.988
70	828243.2666	1253473.991
71	824392.1953	1249219.899
72	820803.7111	1245205.814
73	817041.4931	1241052.323
74	813621.0731	1237166.229
75	810058.6851	1233335.06
76	806436.1573	1229460.313
77	803275.6733	1225950.331
78	800041.4504	1222380.805
79	796866.4263	1218977.473
80	793724.8223	1215444.399
81	790542.6922	1212147.369
82	787593.1437	1208978.898
83	784866.2645	1205994.529
84	782047.7317	1202902.838
85	779107.3808	1199794.513
86	776220.4117	1196591.218
87	773658.6507	1193746.69
88	771076.3901	1190941.371
89	768624.4105	1188297.914
90	766123.2997	1185779.591
91	763573.1029	1183134.931
92	761249.1615	1180512.42
93	758922.8138	1178148.625
94	756654.3816	1175702.255
95	754398.5462	1173483.915
96	752361.0653	1171411.479
97	750373.4255	1169233.128
98	748348.5257	1167023.591
99	746374.6331	1164990.64
100	744356.0366	1162937.433
101	742408.9662	1160948.016
102	740617.7361	1159067.808
103	738744.4599	1157110.383
104	736909.0167	1155257.645
105	735230.4656	1153513.776
106	733565.7848	1151779.983
107	732085.8023	1150178.228
108	730404.0157	1148542.444
109	728755.3236	1146707.877
110	727226.4709	1145189.059
111	725809.395	1143793.8
112	724193.2306	1142204.621
113	722736.8093	1140715.423
114	721171.4864	1139126.746
115	719628.0179	1137478.972
116	718150.8473	1135951.524
117	716817.1255	1134548.287
118	715507.5697	1133144.81
119	714261.9467	1131853.331
120	713048.2724	1130623.822
121	711821.1394	1129246.172
122	710628.099	1127931.918
123	709359.6824	1126659.175
124	708297.9125	1125495.289
125	707106.3569	1124127.099
126	706057.9185	1123016.772
127	704999.7413	1121911.977
128	703973.0495	1120738.985
129	702998.6972	1119662.931
130	701892.8734	1118421.057
131	700842.2767	1117305.479
132	699948.0639	1116410.117
133	698997.9215	1115381.121
134	698063.5084	1114461.511
135	697197.0265	1113598.471
136	696364.9717	1112661.85
137	695414.1172	1111640.193
138	694497.7151	1110709.252
139	693606.2201	1109836.967
140	692780.3937	1108983.175
141	691952.8751	1108101.178
142	691089.8043	1107227.206
143	690442.1499	1106563.259
144	689623.9693	1105644.761
145	688892.9544	1104957.349
146	688092.1489	1104119.451
147	687295.771	1103310.937
148	686506.5508	1102398.827
149	685801.3647	1101721.22
150	685097.0019	1101013.428
151	684457.6624	1100376.594
152	683838.8014	1099753.675
153	683126.2752	1098872.93
154	682427.8129	1098122.337
155	681775.9361	1097490.137
156	681146.1877	1096750.5
