iter	Passed	Remaining
0	183	27311
1	358	26495
2	544	26672
3	713	26026
4	904	26216
5	1141	27393
6	1458	29802
7	1701	30199
8	1899	29764
9	2100	29410
10	2285	28875
11	2537	29177
12	2865	30198
13	3139	30500
14	3334	30014
15	3530	29570
16	3700	28951
17	3901	28611
18	4109	28332
19	4298	27943
20	4477	27503
21	4744	27604
22	4943	27299
23	5222	27419
24	5396	26983
25	5597	26696
26	5770	26288
27	5957	25958
28	6159	25698
29	6342	25371
30	6543	25117
31	6728	24811
32	6929	24566
33	7114	24272
34	7294	23967
35	7482	23694
36	7667	23415
37	7863	23177
38	8073	22979
39	8258	22710
40	8429	22410
41	8601	22117
42	8791	21875
43	8988	21654
44	9175	21408
45	9386	21221
46	9568	20969
47	9748	20715
48	9940	20488
49	10167	20334
50	10362	20115
51	10550	19883
52	10744	19663
53	10927	19426
54	11107	19185
55	11293	18956
56	11486	18740
57	11663	18500
58	11864	18298
59	12069	18104
60	12246	17867
61	12443	17661
62	12636	17450
63	12822	17230
64	13010	17014
65	13289	16913
66	13473	16690
67	13698	16518
68	13892	16308
69	14086	16099
70	14277	15886
71	14542	15754
72	14822	15634
73	15078	15485
74	15321	15321
75	15577	15167
76	15779	14960
77	16034	14801
78	16320	14667
79	16517	14452
80	16767	14283
81	16980	14081
82	17251	13925
83	17480	13734
84	17717	13549
85	17935	13347
86	18145	13140
87	18405	12967
88	18629	12768
89	18851	12567
90	19093	12379
91	19315	12177
92	19654	12046
93	19965	11894
94	20274	11737
95	20651	11616
96	20965	11455
97	21285	11294
98	21655	11155
99	21990	10995
100	22309	10823
101	22656	10662
102	22998	10494
103	23371	10337
104	23742	10175
105	24102	10004
106	24460	9830
107	24831	9656
108	25162	9464
109	25585	9303
110	26008	9138
111	26363	8944
112	26826	8783
113	27172	8580
114	27621	8406
115	27887	8174
116	28085	7921
117	28295	7673
118	28620	7455
119	28816	7204
120	29009	6952
121	29192	6699
122	29385	6450
123	29553	6196
124	29779	5955
125	30039	5721
126	30231	5474
127	30409	5226
128	30774	5009
129	31011	4771
130	31203	4525
131	31378	4278
132	31554	4033
133	31744	3790
134	31931	3547
135	32120	3306
136	32308	3065
137	32486	2824
138	32660	2584
139	32840	2345
140	33036	2108
141	33234	1872
142	33424	1636
143	33611	1400
144	33809	1165
145	33981	930
146	34163	697
147	34375	464
148	34554	231
149	34737	0
