id,kmeans_basicos,kmeans_superficie,kmeans_metroscubiertos,kmeans_fechas,kmeans_latlng
254099,0,1,0,3,1
53461,1,3,4,9,1
247984,0,6,5,3,3
209067,2,1,0,9,1
185997,0,7,2,10,3
126147,5,1,0,2,1
139233,0,6,2,5,1
5013,4,4,1,3,4
44962,2,1,0,4,3
134537,4,0,1,6,1
51180,2,7,2,7,6
103293,4,0,1,2,2
47890,2,6,5,0,6
130216,0,0,5,10,1
181436,4,0,1,0,3
201923,4,0,5,4,1
283945,1,0,1,9,6
73348,2,7,2,3,1
40421,2,6,5,8,6
87655,0,6,5,5,6
90071,0,7,2,2,2
224513,4,6,5,1,6
129818,0,0,5,2,6
235958,1,0,1,2,6
97918,2,7,2,6,2
70294,2,1,0,2,1
177031,4,4,1,9,1
144635,0,7,2,5,3
146158,3,6,5,8,3
257302,0,1,2,1,6
118889,2,6,5,7,1
261416,4,4,1,4,4
162157,4,4,3,7,6
173573,1,4,1,3,1
294582,0,1,0,2,1
261703,4,3,4,3,6
1127,0,6,5,6,6
223547,4,6,5,10,3
127666,2,7,2,4,1
82384,0,7,2,3,4
212847,0,1,0,3,3
202245,1,3,4,7,1
224685,2,1,2,2,1
92610,2,7,2,7,1
274931,4,3,4,1,4
141129,2,1,0,0,1
282782,0,7,2,7,6
157857,2,6,5,0,6
142454,0,6,5,0,1
134758,0,0,5,1,1
116928,0,1,0,10,1
244353,0,7,2,9,1
198249,2,1,0,10,1
232207,0,1,0,5,1
237577,4,6,5,7,1
218245,4,4,1,2,1
241431,4,4,3,1,6
215118,2,1,2,1,1
60762,0,1,0,2,1
196970,4,6,5,1,1
286113,1,2,1,2,6
263775,4,3,4,4,1
61297,2,6,5,3,1
171944,2,7,2,8,1
32302,0,1,0,2,1
119008,0,1,0,5,1
190533,2,6,5,1,1
182136,1,6,5,8,1
16702,4,0,5,7,1
204516,4,5,3,8,1
84768,0,1,0,3,3
137214,4,5,3,9,1
60035,4,5,3,5,1
16952,4,4,3,10,6
167250,1,3,4,6,1
160587,0,1,0,1,1
9271,0,0,5,9,5
25824,1,2,1,10,6
197102,0,1,0,3,6
207641,0,1,0,6,1
200567,2,7,2,8,1
18684,2,7,2,3,6
267991,4,0,1,8,1
84676,0,7,2,7,2
231950,0,7,2,3,5
187330,4,6,4,10,2
6907,3,0,1,7,6
10005,4,5,3,0,1
250047,3,6,5,5,1
249523,4,2,1,9,6
72712,1,4,1,1,1
58873,4,4,3,1,1
229855,4,6,5,9,4
257588,2,6,2,2,1
11713,0,1,0,0,1
195709,2,6,5,6,1
299439,0,6,5,8,6
273416,4,0,5,8,5
216134,2,1,0,10,1
10414,1,5,3,7,1
127848,2,6,5,10,1
120733,4,3,4,1,2
116312,2,6,5,3,1
270980,0,7,2,1,2
114276,0,2,5,2,1
227278,0,7,2,1,1
69827,2,6,5,6,6
183957,0,6,2,2,1
139467,2,1,0,9,1
126416,5,7,2,1,1
11840,4,3,4,3,6
203992,0,1,2,8,1
48369,2,1,0,8,0
110067,0,7,2,3,2
49646,1,3,4,2,5
33712,0,7,2,5,6
81195,0,7,2,1,1
158350,2,7,2,4,6
68608,2,7,2,4,3
258878,5,0,5,4,3
70673,0,1,2,2,1
277149,3,1,2,7,3
70366,4,6,5,4,4
86982,3,5,3,7,7
14801,0,7,0,10,3
68238,1,5,3,3,6
72658,1,6,5,3,1
188842,1,2,1,7,1
105483,1,6,4,5,1
33771,0,6,2,6,5
49616,3,1,0,7,1
18511,2,7,2,1,1
233065,2,6,5,1,2
252254,1,6,5,4,1
247425,2,6,5,0,1
14228,4,0,1,3,4
246928,2,1,0,3,1
99673,4,4,3,9,2
193815,0,0,5,3,7
160687,4,0,1,8,6
285383,0,7,2,2,4
187385,0,7,2,0,6
212041,0,1,2,0,7
164883,0,7,2,7,1
125412,0,2,2,4,5
197913,4,4,1,9,1
232596,4,0,1,6,7
250273,4,0,5,5,0
46540,2,1,0,3,1
37970,3,7,2,2,2
86207,2,1,0,4,1
223353,4,7,2,6,1
5810,0,7,2,4,7
45125,4,4,1,2,1
157324,4,5,3,7,1
83719,0,7,2,4,4
1416,0,1,0,1,1
246070,4,4,1,2,1
145820,1,0,1,8,1
58909,2,7,2,6,5
100792,4,3,4,10,3
33827,4,4,3,9,1
100861,2,7,2,10,4
95548,2,7,2,5,1
4822,5,0,5,3,3
93871,1,0,1,5,1
131687,1,4,1,8,6
213734,0,1,0,3,1
50692,5,6,5,4,6
204995,1,3,4,0,1
238932,4,4,3,4,1
155331,4,6,5,2,1
103163,2,7,2,1,3
203002,1,4,1,2,6
27205,2,6,5,3,2
104610,2,0,5,6,2
121262,0,6,5,8,6
242278,2,1,0,8,1
223652,0,6,2,8,1
929,0,1,0,8,3
295966,1,0,1,8,1
281684,2,7,2,7,1
98278,2,1,0,5,1
151087,0,7,2,2,1
253204,4,4,1,10,6
43705,2,1,0,0,1
193555,4,0,1,0,1
233662,4,6,5,3,3
134380,5,7,2,10,1
