id,kmeans_basicos,kmeans_superficie,kmeans_metroscubiertos,kmeans_fechas,kmeans_latlng
254099,5,0,4,10,0
53461,3,1,0,2,6
247984,5,6,2,10,0
209067,2,0,4,2,6
185997,5,0,1,1,0
126147,4,0,4,8,6
139233,5,7,1,6,6
5013,1,2,0,10,3
44962,2,4,4,8,0
134537,1,1,0,3,6
51180,2,4,1,8,0
103293,1,1,0,4,0
47890,2,7,2,7,0
130216,5,1,2,1,6
181436,1,1,0,5,7
201923,1,6,5,6,6
283945,3,5,5,2,0
73348,2,7,1,10,0
40421,2,6,2,9,0
87655,5,6,1,6,0
90071,5,7,1,4,0
224513,1,6,2,6,0
129818,5,6,2,4,0
146699,1,1,0,6,3
235958,3,1,0,4,0
97918,2,7,1,3,0
70294,2,0,4,5,0
177031,1,5,0,2,0
144635,5,7,1,6,7
146158,0,6,2,9,7
257302,5,4,1,6,0
118889,2,6,2,8,6
261416,1,2,3,8,0
162157,1,2,3,8,0
173573,3,2,3,10,6
294582,5,7,4,8,0
261703,1,1,0,10,0
1127,5,7,2,3,0
223547,1,6,2,1,0
127666,2,0,1,6,0
82384,5,4,1,10,3
212847,5,0,4,10,0
202245,3,1,0,2,6
224685,2,0,1,4,0
92610,2,0,1,8,6
274931,1,1,0,6,3
141129,2,0,4,5,0
282782,5,7,1,2,0
157857,2,7,2,5,0
142454,5,6,2,5,6
134758,5,6,5,0,6
116928,5,0,4,1,0
244353,5,4,1,2,6
198249,2,0,4,1,6
232207,5,4,4,6,0
237577,1,6,2,7,0
218245,1,1,0,4,0
241431,5,5,3,0,0
215118,2,4,1,6,0
60762,5,0,4,5,0
196970,1,6,2,0,6
286113,3,5,5,4,0
263775,1,3,0,8,0
61297,2,6,2,10,0
171944,2,0,1,9,6
32302,5,0,4,4,0
119008,5,0,4,6,6
190533,2,6,2,0,0
182136,3,7,2,9,6
16702,1,6,2,7,6
204516,1,3,3,9,6
84768,5,0,4,0,7
137214,1,2,3,2,6
60035,1,3,3,10,6
16952,1,5,3,1,0
167250,3,3,3,3,0
160587,5,4,4,6,0
9271,1,6,5,2,5
25824,3,5,5,1,0
197102,5,4,4,10,0
207641,5,0,4,3,6
200567,2,7,1,9,6
18684,2,0,1,10,0
267991,1,1,0,1,0
84676,5,7,1,2,0
231950,5,0,1,10,0
187330,1,1,2,1,5
166800,2,0,1,4,3
6907,0,1,0,7,7
10005,1,3,3,5,0
250047,0,6,2,6,0
249523,1,5,5,2,0
72712,3,2,0,0,6
58873,1,2,3,0,6
229855,1,6,2,2,0
257588,2,6,1,4,0
11713,5,0,4,7,0
195709,2,6,2,3,0
299439,5,6,2,9,0
273416,1,6,2,9,0
216134,2,0,4,1,6
10414,3,2,3,7,6
127848,2,7,2,1,0
120733,1,3,0,6,0
116312,2,7,2,10,0
