id,palabra_nbsp,palabra_recamaras,palabra_patio
254099,0,0,0
53461,1,0,0
247984,0,1,1
209067,0,1,0
185997,0,0,0
126147,0,1,0
139233,0,1,1
5013,0,1,0
44962,5,1,1
134537,0,0,0
51180,0,0,0
103293,0,0,0
47890,0,1,0
130216,0,1,1
181436,0,1,0
201923,0,0,0
283945,26,2,0
73348,0,0,0
40421,0,0,0
87655,0,1,1
90071,0,0,0
224513,0,0,1
129818,0,0,1
235958,2,1,0
97918,0,1,1
70294,0,0,1
177031,0,1,0
144635,0,1,0
146158,0,0,0
257302,0,1,0
118889,0,1,0
261416,0,2,0
162157,0,0,1
173573,0,1,0
294582,0,1,0
261703,0,0,0
1127,0,0,1
223547,0,1,1
127666,0,1,0
82384,0,0,0
212847,0,1,1
202245,0,1,1
224685,0,1,0
92610,19,0,1
274931,1,1,1
141129,0,0,1
282782,0,0,0
157857,0,1,1
142454,0,1,1
134758,0,2,0
116928,0,1,1
244353,0,1,0
198249,0,0,0
232207,0,0,0
237577,0,0,0
218245,0,0,0
241431,0,0,0
215118,0,1,0
60762,0,1,0
196970,0,1,0
286113,0,0,0
263775,0,2,1
61297,0,0,1
171944,0,0,0
32302,0,0,0
119008,0,0,1
190533,0,1,0
182136,0,0,0
16702,0,0,0
204516,0,1,0
84768,0,0,1
137214,0,1,0
60035,0,0,0
16952,0,0,0
167250,0,0,0
160587,0,0,0
9271,0,2,0
25824,0,0,0
197102,0,0,0
207641,0,0,0
200567,0,0,0
18684,0,1,0
267991,3,1,0
84676,0,1,0
231950,0,1,2
187330,0,1,0
6907,0,0,0
10005,0,0,0
250047,0,1,1
249523,0,1,0
72712,0,0,0
58873,0,0,0
229855,0,0,0
257588,0,0,0
11713,0,1,1
195709,0,0,1
299439,0,1,1
273416,0,0,1
216134,0,1,0
10414,0,1,0
127848,0,0,0
120733,0,3,1
116312,0,1,0
270980,0,1,0
114276,0,1,0
227278,0,0,0
69827,0,0,0
183957,0,0,0
139467,0,1,0
126416,0,1,0
11840,0,0,0
203992,0,0,0
48369,0,0,0
110067,0,0,0
49646,4,0,0
33712,0,1,0
81195,0,0,0
158350,0,0,0
68608,0,1,1
258878,0,0,0
70673,0,1,0
277149,0,0,0
70366,0,0,0
86982,0,0,0
14801,0,0,0
68238,0,0,1
72658,0,0,0
188842,0,1,0
105483,0,1,0
33771,0,0,0
49616,0,2,0
18511,0,0,1
233065,0,0,1
252254,0,1,0
247425,0,1,0
14228,0,1,0
246928,0,0,0
99673,0,0,0
193815,0,0,0
160687,0,0,0
285383,0,0,0
187385,0,1,0
212041,0,0,0
164883,0,1,0
125412,0,0,0
197913,0,0,0
232596,0,0,0
250273,0,0,0
46540,0,0,0
37970,0,1,1
86207,0,0,0
223353,0,0,0
5810,0,1,1
45125,0,1,1
157324,0,0,0
83719,0,1,0
1416,0,0,0
246070,0,0,0
145820,0,3,0
58909,0,1,1
100792,0,1,0
33827,7,0,0
100861,0,0,0
95548,0,0,0
4822,0,0,0
93871,0,0,0
131687,0,0,0
213734,0,0,0
50692,0,0,0
204995,0,1,1
238932,0,0,0
155331,0,0,0
103163,0,0,0
203002,0,0,0
27205,0,1,0
104610,0,1,0
121262,0,1,0
242278,0,0,0
223652,0,1,0
929,0,2,0
295966,0,1,0
281684,2,0,0
98278,0,0,1
151087,0,0,0
253204,0,1,0
43705,0,0,0
193555,0,0,0
233662,0,1,0
134380,0,1,1
91825,0,0,0
123025,0,0,0
110004,0,1,1
241949,0,0,0
225438,0,0,0
284034,0,0,0
241937,0,0,0
1976,0,0,0
233685,0,0,0
1527,0,0,0
3221,0,0,0
136871,0,1,1
144952,5,0,0
4609,0,1,0
80025,0,1,0
128421,0,0,0
149879,0,0,0
79049,0,1,0
153519,0,0,0
130215,0,1,1
63068,0,1,0
231636,0,0,0
237547,0,0,0
100528,0,0,0
62730,0,0,0
42690,0,1,1
271681,0,0,1
143725,0,0,0
20830,0,1,0
142453,0,1,0
171544,0,1,1
232768,0,0,0
173679,0,0,1
199424,1,0,0
76493,0,0,0
165038,0,0,0
4378,0,0,0
125465,0,0,0
208459,0,0,0
78770,0,1,0
109224,0,1,1
274403,8,1,0
184145,0,0,1
201327,0,1,0
200837,0,0,0
237183,0,0,1
100659,0,1,1
247939,0,1,0
74110,0,0,0
17677,0,0,0
67919,0,0,0
186814,0,1,0
62123,0,1,1
179128,0,0,1
217845,0,0,0
5972,0,0,0
116954,0,1,1
79960,0,0,0
291104,0,0,0
246193,0,1,1
12145,0,0,0
290286,0,0,0
212162,0,0,0
55466,0,1,1
94396,0,0,0
52920,0,0,0
143858,2,1,0
188686,0,0,1
100877,0,0,0
144159,0,1,0
16325,0,0,0
43801,0,1,0
149347,0,1,0
56475,0,1,0
110074,0,1,1
55172,0,0,0
157486,0,1,0
143295,0,0,1
5321,0,0,0
216322,0,1,1
212546,0,1,1
161570,0,1,0
123989,0,0,0
238337,0,0,2
182333,0,1,0
70715,0,0,0
250663,1,1,0
161342,0,0,0
251416,0,1,0
94337,0,0,0
109704,8,1,0
268772,0,1,0
111327,2,1,0
38143,0,0,0
39494,0,0,0
102124,0,0,0
250069,0,1,0
208268,0,1,1
166399,0,0,0
4501,0,0,0
165119,0,1,0
245705,0,0,0
233667,0,1,0
20280,0,0,0
59058,0,1,1
278941,0,0,0
59017,0,0,0
291049,0,0,0
69738,0,1,0
38340,0,1,0
202164,0,0,0
280453,0,0,1
260728,0,1,0
55846,0,1,0
4545,0,0,0
60426,0,0,0
279001,3,1,1
878,0,0,0
141799,0,1,1
131492,0,1,1
181444,0,1,0
208109,0,0,0
143187,0,1,0
155408,0,1,0
76237,0,0,0
23066,0,0,0
143050,0,1,0
299920,0,1,0
192103,0,1,0
257614,0,0,0
115183,0,2,0
225062,0,1,2
225958,0,1,0
227708,1,0,0
100517,1,0,0
81813,0,1,1
20370,0,1,0
41314,0,0,0
281879,0,0,0
133728,0,0,1
71493,2,0,0
59355,0,1,0
122483,0,2,1
115462,0,1,0
134803,0,1,1
193676,0,0,0
281680,0,1,0
170,0,0,0
194182,0,0,0
237931,1,1,0
195003,0,1,0
259305,0,0,0
147123,0,0,0
100205,0,0,0
298891,0,1,0
104553,0,1,0
283609,0,1,0
209071,0,1,1
205005,0,0,0
36316,0,0,0
194159,0,0,0
227408,0,1,1
82397,0,0,0
46457,0,1,0
272358,0,1,1
250155,0,0,0
32753,0,0,0
58007,0,0,0
178133,0,2,3
167542,2,0,1
140053,0,0,0
172742,0,0,0
250542,0,0,0
