provincia,costera
Aguascalientes,False
Baja California Norte,True
Baja California Sur,True
Campeche,True
Chiapas,True
Chihuahua,False
Coahuila,False
Colima,True
Distrito Federal,False
Durango,False
Edo. de México,
Guanajuato,False
Guerrero,True
Hidalgo,False
Jalisco,True
Michoacán,True
Morelos,False
Nayarit,True
Nuevo León,False
Oaxaca,True
Puebla,False
Querétaro,False
Quintana Roo,True
San luis Potosí,False
Sinaloa,True
Sonora,True
Tabasco,True
Tamaulipas,True
Tlaxcala,False
Veracruz,True
Yucatán,True
Zacatecas,False
