id,similares_count
254099,1522
53461,301
247984,1099
209067,1636
185997,325
126147,220
139233,30
5013,26
44962,1
134537,0
51180,46
103293,25
47890,59
130216,0
181436,0
201923,92
283945,478
73348,0
40421,0
87655,1204
90071,0
224513,53
129818,0
146699,17
235958,5
97918,373
70294,39
177031,190
144635,0
146158,0
257302,46
118889,36
261416,178
162157,23
173573,1
294582,0
261703,327
1127,14
223547,627
127666,106
82384,150
212847,325
202245,389
224685,49
92610,304
274931,2
141129,843
282782,142
157857,1043
142454,1
134758,100
116928,1075
244353,1794
198249,2605
232207,2937
237577,64
218245,25
241431,0
215118,828
60762,25
196970,353
286113,0
263775,0
61297,754
171944,11
32302,0
119008,244
190533,1008
182136,37
16702,607
204516,377
84768,68
137214,1103
60035,0
16952,3
167250,2
160587,2937
9271,499
25824,64
197102,14
207641,0
200567,1107
18684,53
267991,13
84676,86
231950,109
187330,704
166800,47
6907,1
10005,0
250047,0
249523,0
72712,61
58873,17
229855,6
257588,231
11713,2937
195709,104
299439,6
273416,211
216134,73
10414,46
127848,236
120733,0
116312,754
270980,1
114276,163
227278,78
69827,1043
183957,113
139467,2605
126416,5
11840,1204
203992,1522
48369,300
110067,100
49646,1
33712,0
81195,2937
158350,118
68608,892
258878,81
70673,201
277149,9
70366,641
86982,0
14801,630
68238,5
72658,20
188842,8
105483,154
33771,50
49616,389
18511,1
233065,37
252254,15
247425,55
14228,35
246928,71
99673,244
193815,98
160687,121
285383,0
187385,1
212041,12
164883,111
125412,60
197913,260
232596,25
250273,0
46540,33
37970,8
86207,2605
223353,50
5810,0
45125,320
157324,0
83719,14
1416,962
246070,241
145820,0
58909,0
100792,1
33827,0
100861,33
95548,1008
4822,1
93871,71
131687,218
213734,2937
50692,3
204995,215
238932,379
155331,377
103163,85
203002,142
27205,36
104610,191
121262,15
242278,2605
223652,803
929,224
295966,43
281684,380
98278,828
151087,46
253204,13
43705,0
193555,17
233662,627
134380,0
91825,1103
123025,0
110004,754
241949,92
225438,18
284034,91
241937,1579
1976,6
233685,5
1527,2605
3221,139
136871,630
144952,32
4609,113
80025,119
128421,0
149879,0
79049,4
153519,5
130215,3
63068,1
231636,207
237547,0
100528,0
62730,203
42690,1103
271681,64
143725,0
20830,34
142453,101
171544,113
232768,316
173679,43
199424,403
76493,1075
165038,7
4378,0
270212,0
125465,26
208459,99
78770,209
109224,308
274403,391
184145,45
201327,2605
200837,88
237183,31
100659,27
247939,2605
74110,2
17677,1247
67919,0
186814,738
62123,26
179128,1
217845,1075
5972,4
116954,71
79960,1204
291104,46
246193,98
12145,0
290286,1075
212162,52
55466,5
94396,8
52920,0
143858,2937
188686,8
100877,23
144159,89
16325,0
43801,30
149347,389
56475,1075
110074,3
55172,83
157486,17
143295,25
5321,39
216322,781
212546,244
161570,88
123989,1
238337,1
182333,219
70715,72
250663,7
161342,11
251416,204
94337,391
109704,43
268772,12
111327,0
38143,147
39494,0
102124,1278
250069,72
208268,2
166399,33
4501,19
165119,1794
245705,0
233667,480
20280,1
59058,146
278941,36
59017,627
291049,27
69738,18
38340,20
202164,3
280453,694
260728,0
55846,2605
4545,125
60426,39
279001,564
878,6
141799,704
131492,6
181444,212
208109,1043
143187,18
155408,0
76237,841
23066,0
143050,2
299920,41
192103,0
257614,33
115183,7
225062,33
225958,109
227708,170
100517,5
81813,119
20370,13
41314,1
281879,154
133728,101
71493,1794
59355,8
122483,694
115462,750
134803,1008
193676,1
281680,1
170,7
194182,0
237931,308
195003,38
259305,74
147123,3
100205,3
298891,1
104553,2605
283609,27
209071,9
205005,1043
36316,0
194159,2
227408,111
82397,202
46457,209
272358,238
250155,1008
32753,126
58007,5
178133,98
167542,1099
140053,35
172742,0
250542,1579
208484,1
218257,750
153577,0
207183,1103
197755,29
17832,1
60322,1107
294361,4
9893,16
58592,232
19526,0
35143,10
288656,233
132491,1064
228187,3
92435,4
233180,0
258195,0
157491,25
258047,218
100106,60
112278,1278
217561,232
132142,5
205620,1
45293,18
147373,2
98627,411
139515,627
260421,410
225044,0
83083,108
188630,0
282918,1075
219139,0
660,34
163921,0
88311,279
774,4
176707,70
109416,1
72875,4
132033,0
75138,1247
266105,23
268973,1
27815,109
139168,380
288171,388
22276,0
180649,24
115356,0
213034,2
93795,140
47903,34
50364,2937
291725,1278
288975,577
154239,10
26168,7
215673,18
63484,3
135904,203
289415,1247
191063,343
248675,220
150010,95
4421,149
88928,106
116423,2
124699,13
226815,6
38212,627
19319,0
180384,115
261326,0
204405,0
18218,381
88457,0
42950,22
71716,244
107307,7
298215,803
92248,211
13696,17
219375,20
269691,231
163224,478
96329,15
209138,47
201173,18
99212,23
268810,177
161497,17
103670,843
224417,3
39836,106
12510,2605
216150,339
261333,0
255320,380
118783,146
32809,1247
297052,0
82795,0
138377,168
229837,37
75763,14
2512,12
62521,4
237818,98
152292,28
278403,1099
11879,46
158513,73
237726,35
64742,48
31955,2937
63762,144
297301,0
253803,2
78453,26
107082,1204
2130,87
289423,84
84978,694
208299,35
11565,2
98108,328
97086,3
153280,55
169196,150
139589,0
182799,94
126367,586
71708,1
21776,1103
277567,191
244819,0
148617,58
111579,403
219982,10
175439,149
64658,3
53635,586
55713,0
116635,2
61335,388
280443,15
251822,18
21252,64
33145,0
184641,0
279183,0
129843,0
34607,738
261220,43
170594,0
166214,106
277163,66
83002,47
139622,1107
166394,80
102678,564
280664,18
97013,1107
188359,0
194676,12
121663,962
153590,13
239439,126
291696,8
63553,100
270260,14
231223,627
201234,69
219448,178
209471,138
70588,0
190785,828
233364,3
154538,408
68859,71
246608,0
296281,18
41595,1278
201732,0
251152,1043
3539,45
206114,5
268239,76
233080,2605
40790,0
72025,892
57552,4
167118,1247
184600,16
284830,6
130927,754
26302,412
280686,11
186896,68
163648,0
81040,478
289813,13
91293,4
52686,0
223123,14
47090,4
297202,53
151106,16
37250,10
265478,750
172919,165
179524,0
239086,53
63985,1636
22311,6
125932,9
22139,266
174097,389
84845,255
109465,1247
284948,2
65434,1278
22171,174
88364,641
249718,498
76423,0
156197,29
217135,1
122828,2937
84395,227
79501,71
226196,44
106936,89
56254,75
203175,67
225367,0
249569,84
222573,85
152929,219
50398,156
224663,0
68933,1043
61384,1522
43483,44
141480,0
191774,3
231960,89
159751,1
186414,381
272167,1
36712,42
246704,5
273624,0
148502,22
227196,95
272103,15
202126,377
120856,379
149894,2
108308,20
98472,0
632,42
234569,0
50824,88
288751,80
299307,480
79108,4
296098,627
75945,151
135643,21
2898,13
299080,5
67729,13
218799,229
299274,388
122933,0
270379,0
270447,803
3077,1278
14001,17
142168,0
268791,2605
117094,1
175744,21
245018,607
27748,1
186396,0
145840,52
165607,8
134448,0
6669,3
6155,1103
149070,30
168291,339
167322,403
284431,90
146378,339
96899,478
256478,111
173591,0
138251,0
274480,43
10585,3
269465,381
104807,381
237607,1636
112464,104
114384,18
143500,63
246603,0
96636,265
288969,2605
123309,46
195450,29
117910,30
239971,15
94104,0
247695,132
47604,98
58462,145
288688,163
93788,184
295134,1278
229943,1579
286123,202
178477,70
255741,1522
233034,254
271555,0
270716,1
1707,44
294352,1
193649,120
194974,738
139557,191
289769,171
162034,119
206421,781
197678,146
157965,411
99617,0
161076,2
27446,121
62474,0
203064,0
122566,12
203692,1107
292125,70
16181,1043
86185,0
208808,8
265157,108
131688,232
126757,46
160646,577
298409,389
173585,22
270499,44
232994,83
47560,3
144261,3
32625,0
246679,1075
64522,20
205323,10
59454,803
215015,1579
257120,843
235110,246
253261,71
269687,100
33032,58
233323,0
231828,1247
222110,46
87452,7
70240,1
134494,1
70535,161
283371,25
72793,236
34631,0
23937,892
186711,4
107607,531
299194,630
172375,0
252899,87
172133,11
224669,1522
242050,65
139129,175
137674,1247
35778,3
278885,48
228618,11
156913,10
140976,0
61211,168
180117,154
276281,14
95954,843
176017,265
198483,7
185181,1579
15260,1636
225379,40
110568,586
270938,11
92397,1099
269858,15
219069,38
84290,2
89145,1043
291130,121
262686,0
285797,0
228371,35
192966,88
67992,236
225646,3
124524,1107
33917,0
22162,1278
252045,8
182806,0
57710,410
12297,139
294441,1103
243920,0
46054,244
140903,138
113439,17
239861,56
66466,19
254893,1099
235225,0
2302,0
8854,244
234653,119
56370,1107
216702,202
69485,1099
116273,478
63759,68
187713,0
85715,82
271990,46
64047,2
237342,328
291928,2937
195661,2
87173,89
199884,2937
192100,8
277263,2
16937,25
252073,2
158120,1008
244113,0
54587,0
93504,39
84016,62
247094,47
195765,0
165650,586
106735,4
183454,1
20564,77
244605,0
224366,750
285642,241
110571,412
199911,0
121777,34
204742,1
165791,0
77052,843
247232,165
4982,40
236393,0
13068,84
29154,738
200145,43
124930,4
142112,0
6999,14
224835,1794
276155,78
103902,403
34002,15
276230,25
165831,100
176676,0
271501,1
149251,0
256542,3
298725,0
134171,98
34868,331
192725,0
252645,44
211124,2
129643,36
187406,0
276502,1075
149483,171
32748,38
47615,3
287048,0
273352,301
244798,841
187833,1075
51116,2
125834,9
132036,212
201136,499
200766,0
54117,1008
175168,254
55899,446
146111,343
115900,21
72783,2
290045,1
191608,15
102114,85
101479,29
243033,18
223625,2937
206744,0
147036,205
126091,586
265843,0
60895,650
35451,12
10725,202
36039,0
52026,162
141161,5
82822,16
87475,2937
30402,0
123048,7
108965,480
121188,1
176329,19
103412,38
78360,47
68130,1043
33603,24
171647,65
270054,18
293544,80
157604,169
266113,31
78595,137
137467,169
219084,171
215582,381
1057,25
39529,6
266916,0
94795,0
229535,0
22636,18
253632,803
234714,36
184007,0
63274,73
32415,0
50327,0
179429,9
111809,149
210935,1636
159421,66
14420,1
179334,15
233457,46
28838,0
214690,220
81155,7
103754,8
249505,191
16247,26
129250,43
36427,0
56695,45
104350,630
75806,7
148171,46
264940,162
132194,0
104022,1794
88162,231
222438,24
8251,120
88473,7
237899,6
65895,10
108920,254
177377,319
64746,388
207406,3
173931,8
180372,93
152315,21
1741,1
195344,27
291535,650
65365,112
84060,191
1002,1
277254,0
65278,0
272556,44
216058,1107
87786,191
204624,80
243075,0
77023,0
196293,1
58852,67
111658,61
126606,198
116484,58
68507,704
118865,10
244253,2937
260942,30
42161,84
208496,19
84279,52
95015,1
81400,1
171956,9
65481,9
263598,16
282073,144
180413,2937
33160,44
71278,9
104322,26
1534,7
125294,2605
6382,86
72548,738
257730,30
179491,44
184375,29
157954,0
157490,650
141651,25
298922,27
74133,100
244452,5
205357,0
171391,35
180651,308
256327,2
247756,803
159177,7
141689,47
119333,148
66407,0
109374,0
53593,0
72137,1
181659,0
5241,0
190789,95
84145,0
79464,201
207230,586
232812,2937
221124,19
277179,47
188093,146
232780,380
92662,1247
72817,34
121273,24
24340,754
213534,90
160918,0
290638,0
215749,377
153007,0
2680,68
22290,754
94311,4
72742,65
166516,30
52698,66
52619,843
130586,0
226153,1
103795,106
109685,15
9456,16
72865,35
249429,48
254910,189
165270,1
197608,41
174332,79
38449,56
148890,586
274289,2937
33280,0
55559,13
216570,0
75023,1794
213750,30
215860,37
132348,1075
167123,67
34551,23
57809,211
163943,2
280003,0
118348,9
180731,5
278156,300
61393,33
239928,7
162268,1
65130,391
282110,0
142808,93
289923,38
81691,163
252947,0
288853,2
76211,803
259847,168
189901,19
248798,704
231204,339
72967,0
228603,2937
7492,0
272782,0
272332,168
26388,171
242165,7
19950,0
87818,8
22626,36
35355,0
184994,0
116282,1064
25810,2
238393,0
19360,2605
290364,1099
173521,37
126475,47
206728,841
99766,104
108268,52
95104,35
57770,23
12086,1
47386,7
196538,40
295832,49
295670,650
261101,841
57936,164
298478,91
80228,55
263451,2937
90953,35
30360,0
106865,1
237192,0
197111,36
53249,100
103458,115
240847,14
114142,1
267728,11
241678,229
45700,962
164557,1
129292,203
224908,320
219628,5
88934,1
77403,1278
237564,3
164906,381
295704,0
102814,7
23240,98
123457,84
233135,12
136486,105
298996,1064
190305,83
264697,1522
36621,118
230369,74
8302,101
20973,53
115743,244
80082,88
176674,0
242082,120
165014,73
111079,892
125307,0
164147,2
107684,2937
268398,412
102550,20
287189,2937
118017,1
98248,0
109139,2937
294853,482
121961,22
195949,35
177791,35
186850,0
109553,1
284573,738
156779,80
74519,403
128988,13
74759,2
158659,641
89848,34
48213,5
274598,1636
290255,191
156848,12
152230,738
141815,1
244137,254
251616,42
35190,5
28796,0
241081,8
41754,18
47995,115
43979,1579
73431,627
57195,0
298,235
206533,210
120929,1
250303,388
226555,0
198633,381
53862,0
223027,754
71806,25
239932,379
42303,0
65034,0
143766,531
92433,0
119260,0
247358,44
41612,184
82022,27
251031,1064
286627,14
119964,82
110815,53
189095,116
260271,841
90011,57
272202,10
194136,5
248084,43
132060,3
80678,694
268977,64
53212,0
189237,0
58439,6
160573,212
98413,6
89774,1075
98551,754
24159,25
15615,0
100399,754
225481,781
228706,0
197268,412
284855,2605
158491,6
94654,58
246302,0
154484,2
123330,44
62851,30
199528,56
43673,1107
165213,100
168161,293
231102,343
187481,2605
118851,738
171741,161
40993,58
94205,18
272335,70
185627,0
261958,22
76404,64
245826,43
157820,81
178069,429
116649,59
66916,52
12173,0
229090,390
187170,4
293731,0
50169,5
28627,381
243054,12
248211,204
130802,14
27851,478
120968,0
57912,53
194837,391
268255,84
81542,0
36461,0
229779,26
204911,8
166367,27
107361,1008
79910,51
248923,3
153659,1204
287585,597
262456,1064
259049,28
123005,68
229314,8
187411,16
200519,170
554,6
40811,53
197998,300
33552,586
181146,161
50719,597
245331,8
50172,1
191436,80
69511,51
36092,35
186347,1794
84740,3
150769,45
287771,11
93154,925
159394,0
200152,8
132426,18
181915,0
190381,0
170383,172
155745,241
44028,135
277835,16
293067,175
91033,0
151341,213
283233,29
73639,191
182749,198
136072,2
121709,0
178727,169
246265,30
166152,408
158535,11
151624,0
136868,184
288126,80
124885,1579
41654,750
130050,1075
31086,0
155415,2605
3940,2
108280,3
282438,206
29753,80
180567,0
46314,47
113740,31
233338,180
21822,0
120438,37
71448,79
191874,478
259154,0
105330,81
18032,0
292924,1
52553,2937
181369,23
212915,9
295408,7
132960,4
125576,66
179835,0
249887,229
225795,381
215039,191
235036,92
216615,0
99802,513
294554,120
219863,274
82310,1
48834,21
50354,0
197891,210
271224,75
283864,0
234418,28
215195,88
289087,229
90775,0
294462,142
233995,2605
187156,0
207520,4
297691,17
161709,84
11162,0
5865,113
111239,19
61828,2937
141371,1008
229624,142
93151,0
149313,0
223983,0
143657,33
202050,1204
140203,0
96267,4
10967,2605
260225,265
283171,0
228271,480
175820,71
62418,0
203366,0
71767,13
212804,1
173675,58
268310,151
234130,0
141970,146
110355,68
228297,110
202035,2
204191,147
63729,754
268910,23
177360,0
70952,750
173555,0
231326,841
229884,1
292195,0
270863,246
67732,331
90695,202
132689,35
226642,4
147729,1636
173359,19
232889,1
146431,1107
263555,0
290268,2937
43656,0
90863,1
204539,35
8160,7
143198,0
281828,100
89895,381
131766,29
132620,163
223532,36
114788,120
238467,803
163162,1075
184653,15
39490,2937
25454,2
31112,14
221367,390
207280,72
232743,0
11479,25
257560,1
48334,1
186173,962
134250,33
204061,32
162724,29
293375,828
277918,39
175954,63
23526,19
247213,6
253982,1579
291784,738
78712,0
205710,408
185139,0
7092,0
181610,266
215670,26
11616,20
111083,7
219196,149
206739,71
13754,1075
284271,0
217518,217
134407,99
13212,97
118301,17
249219,10
23210,1522
117110,53
47073,1
65576,0
232608,4
197528,93
166836,1
259470,29
52418,0
78212,1075
4058,137
210937,308
276737,77
197522,33
111998,325
152743,224
291408,18
144053,0
45207,499
126226,191
252203,1
242508,142
110313,274
175520,78
3669,381
277899,480
27485,1794
282480,91
141717,18
11854,18
155455,0
174757,209
131334,4
127682,17
88026,18
4709,36
188017,446
21126,168
276557,0
75972,108
30792,18
273774,14
151758,137
57968,0
101843,9
139993,19
110783,0
68962,9
47824,206
138517,380
88580,1
75971,641
298760,1579
144305,5
61311,1794
69045,1064
231929,0
248730,962
232469,694
40419,328
22993,803
194422,446
179127,39
225894,35
157653,2937
78402,244
231254,0
136245,95
269795,84
278875,0
198598,754
263992,429
180171,82
164905,20
260873,1794
127065,8
273166,6
274337,100
62627,1
24565,377
87550,212
65959,750
80411,0
53856,118
237839,241
10642,8
8931,197
90369,478
214179,0
121748,65
44483,564
3778,377
249528,8
229514,126
221773,36
176425,0
61529,0
130158,5
196857,146
130796,0
162515,2605
198700,57
252996,212
7860,27
281536,841
241925,111
260209,17
165004,0
156093,256
48931,73
235878,1
223846,0
45361,291
246267,98
257457,11
292344,231
278837,5
89198,99
134971,0
267384,165
88303,116
154494,0
189606,12
85124,1064
60325,6
69671,380
190773,6
44090,23
75008,328
74944,841
281948,0
192720,236
7437,73
252473,0
45073,88
62322,170
118593,205
272084,61
57466,561
243541,0
229137,0
180016,38
192126,58
13066,84
270325,0
154414,0
225505,18
200434,0
266452,96
294958,22
51061,4
44775,9
255094,1075
129409,0
43692,33
152758,1099
30629,86
239414,0
71958,2
124596,34
243510,171
128849,1636
166794,828
176167,231
293203,52
85372,1
204959,103
33402,0
53521,0
173847,43
47295,1204
22620,84
247081,8
156985,379
176462,0
179438,72
272557,11
116013,597
287378,0
225462,1579
244891,80
241673,265
149179,328
72337,1
147192,9
113182,73
66827,151
39335,63
263001,1
274182,75
217158,2605
244960,61
17797,1204
62166,403
136219,1
73892,171
274714,3
52676,21
209975,0
178117,19
40810,2605
246559,0
175433,1
191328,498
57288,2605
49065,33
2146,0
54519,577
122666,3
190507,14
30918,16
86584,16
26179,828
183607,1
150173,0
170113,7
231242,26
278066,48
180917,44
99865,5
176463,73
277380,328
133096,0
95302,0
163765,641
237508,279
256090,15
134269,1064
74080,0
79154,21
176521,17
217571,170
289540,202
148294,650
255390,205
188274,17
84137,694
187763,25
94161,80
92548,16
36477,51
269190,18
288068,6
58938,13
123040,49
297233,100
44466,2937
117663,66
285422,0
101966,7
108617,2
187596,1099
14822,2605
130190,1
257006,627
206532,58
6848,1103
149523,88
106066,55
168415,627
219533,1107
144191,446
64561,1
89632,513
91584,224
260148,8
250487,36
160013,1794
231448,18
214538,37
50945,2605
289973,14
168069,1
254241,73
95379,1278
253521,101
105876,2605
163296,101
179811,209
164407,34
283788,106
286687,5
211208,8
60673,2937
224472,160
271236,630
32238,147
6663,212
147474,343
88224,0
55929,171
195633,169
15139,0
10866,1103
80905,0
60455,738
226686,377
277626,0
181324,246
38330,738
159275,1008
67599,325
10355,209
26443,34
128681,1
14138,1278
189505,0
208877,30
256214,201
63500,33
82467,13
242970,1
193955,7
162072,410
119146,0
282840,17
173638,1
2519,0
1250,189
56543,50
215197,1579
287939,0
79990,0
277196,36
220055,92
258832,2
63473,37
92478,149
6091,58
63531,29
230607,304
75721,0
161274,64
274621,142
245977,12
165732,1
73404,87
117401,27
110937,0
262963,171
213074,38
281281,16
160491,28
168263,841
24854,18
252738,162
31519,408
285656,300
253044,1075
278269,2
242365,11
122455,11
45346,180
130980,4
277862,74
165170,597
27216,1
50569,828
154027,738
274873,135
20466,7
112697,0
103370,1
170106,125
281682,12
62638,1
229612,5
293878,10
71603,1522
52630,206
129003,165
174422,15
293615,7
161329,108
50992,390
8507,27
198863,3
90068,0
188820,24
184117,1636
140516,98
129747,410
59869,4
240922,0
200971,0
3798,704
89386,222
267845,0
174176,0
164716,0
171283,6
131005,1794
15422,1008
270644,12
144559,121
44942,8
67856,1278
270033,0
86165,2
40890,24
206921,1064
8149,1
25617,803
226399,892
54468,5
57228,0
152444,828
103712,121
104435,5
190578,122
222205,8
99741,24
268276,1247
245415,308
214466,161
26725,211
235002,66
225101,738
68362,12
265419,1522
262675,23
293663,8
251150,33
250467,17
4072,0
146868,64
130953,88
247312,1636
134339,265
136716,429
204871,0
38525,1
63038,1794
40366,1
283177,597
203443,32
94305,210
116235,1522
187362,48
276364,2605
8504,12
38427,4
130083,3
80485,145
12881,43
10489,238
10813,1008
224547,254
162222,255
255912,1794
117446,19
278468,0
142937,16
134544,0
290946,2
126390,12
240894,100
205121,119
174565,21
115956,29
199380,0
115001,18
106869,16
164710,78
1446,19
227905,0
50498,42
56994,36
257544,0
222478,0
77352,114
297466,925
143837,2
135487,189
253162,20
194196,27
137197,16
244993,15
153345,1522
77767,962
287686,0
152182,0
179407,67
139466,156
296498,0
209046,13
112418,328
209769,391
29121,94
95900,0
265504,391
216990,20
209337,15
153743,1
275420,25
159343,0
124493,7
256521,1043
209050,80
11975,18
28016,308
139174,6
56792,319
163287,34
3994,171
196648,2937
94706,2
103814,13
129844,52
63098,37
260767,1103
107418,325
184584,0
234016,513
218325,211
220352,0
106953,0
240581,210
231033,1278
63640,343
225125,319
257939,75
230420,115
270006,0
229946,1522
235201,25
105108,381
53339,232
242974,38
60232,91
219505,33
39111,35
56502,229
222953,114
269246,55
88775,16
173642,1064
264636,50
15986,215
159637,68
79016,1
188507,0
181816,99
90499,0
40398,88
123932,82
254789,35
104595,3
203673,25
60087,0
191613,106
38194,37
1129,61
141913,18
282351,561
13701,46
274709,191
105193,118
145562,5
65194,0
93018,6
231111,4
246091,30
57931,333
47868,325
249354,0
235788,48
117355,0
227526,627
238040,738
163389,0
93599,1008
185237,0
140913,803
273208,1
57935,160
7094,304
134565,96
24494,2
138613,145
110652,14
140096,16
39763,236
143906,1
104426,146
285410,328
278260,1247
248951,781
41935,26
161768,2605
125353,14
245868,83
226670,1
92638,22
6124,586
158595,76
33789,184
97082,40
143908,20
65203,3
216471,841
246525,18
6003,137
12206,265
262792,86
121481,843
269646,55
82204,0
30095,2
279933,66
26630,7
63654,0
59759,14
240052,13
56526,390
73763,18
104619,6
64386,15
212740,1204
159716,1103
277532,189
286423,27
59618,4
131014,0
287018,6
210507,2
244847,0
140812,1043
249199,18
244363,843
89671,3
156198,0
242250,79
102500,0
252559,304
261030,0
214725,320
206919,213
223514,781
567,750
12411,429
102046,32
118360,28
109962,16
71835,1522
296828,478
275539,0
56157,212
140355,841
64677,18
74677,178
78810,43
258199,2605
122864,14
19753,66
129708,0
298602,71
65996,1579
22640,389
60798,781
126151,1794
185661,36
47835,103
178912,4
209463,1579
250614,3
55686,118
142554,212
86593,1522
213160,754
214061,137
286143,0
43720,9
104933,12
224946,641
30747,56
74906,892
235097,244
45859,29
192791,7
79074,1794
113938,1008
70302,35
107337,9
176715,4
175752,100
285374,2
16073,26
88761,0
114679,146
115021,0
204325,843
233297,229
30824,1
290317,191
160924,161
735,209
158074,5
291868,132
67524,478
120133,0
77947,0
85524,0
162230,1
122077,72
284625,429
22480,6
165785,113
174658,125
172363,15
61810,0
23355,8
134732,0
159283,100
104981,119
288066,23
47136,630
129974,210
219921,3
250062,24
209898,217
178689,89
225210,343
69391,2
24289,265
166320,71
178978,46
259684,87
159320,43
281923,149
185498,339
154028,40
42606,1075
110027,12
225246,204
249698,1247
150598,69
225084,27
54280,10
182699,0
28061,133
103495,331
52094,2937
21674,377
125618,627
133778,32
230137,180
92830,781
3899,19
207218,20
182359,231
103647,89
148160,1247
274390,0
113951,391
189659,11
195083,0
138027,6
63268,39
245760,259
162038,738
182947,38
269347,20
171179,163
260998,2
164198,5
172750,1579
166549,2
251009,0
203285,17
26638,133
203652,235
25298,13
193464,0
235522,0
217216,1636
132616,2
139900,1075
281821,0
227994,53
77862,4
109369,34
13402,2
261928,410
175427,4
174577,5
280346,0
228825,48
117969,46
134101,1
286054,328
51212,0
79122,0
295639,5
63393,2605
180035,1
245268,178
29931,156
93305,0
105895,206
29686,107
65008,1107
297399,320
76817,0
117226,1
248702,0
141589,16
9477,0
39539,0
21146,46
53984,0
34360,293
114551,7
44378,229
94490,2
150646,1247
89799,3
125740,1794
80641,1
249401,45
175543,2
259924,1247
109143,1579
296439,6
278562,1579
48091,389
238676,26
265327,114
93670,18
103877,120
294467,105
81154,88
125709,1
165966,390
225048,1278
240532,212
131910,738
224113,320
111273,892
259447,6
113503,9
5625,0
250529,217
36224,738
32586,174
20573,0
44624,738
177322,925
40854,0
156560,0
2403,8
248152,215
94896,118
76020,0
5667,48
59769,21
233576,1
63779,60
272119,0
202181,4
246574,0
83954,5
274286,13
27895,122
48153,4
183600,0
53755,0
180075,70
22179,0
296734,0
207953,68
110818,11
119054,2
121632,2
204122,20
190884,5
298607,1103
180883,1204
212589,1
87038,7
69235,80
281853,33
199272,3
138786,738
140981,1278
92530,73
152594,0
282421,10
9221,319
96529,12
52337,238
59333,499
139865,14
92231,2937
710,0
27008,0
149396,3
149022,76
143863,0
237667,1247
85447,130
150850,1099
105236,54
26721,1579
113718,84
127493,0
151778,28
101008,73
37577,429
140237,0
139349,0
211737,46
265751,27
290967,389
246747,0
134495,9
137609,328
109134,0
186728,0
60894,61
262346,232
122858,0
438,12
40746,0
214975,184
12664,0
32755,75
283001,564
197115,1636
268991,1107
690,293
158375,274
127565,9
131360,389
50042,694
251689,843
160098,93
7273,202
19859,61
248192,5
28415,69
35161,9
117631,120
145499,3
101149,1008
283653,0
176964,40
72321,650
131898,9
12025,3
63432,2937
64175,843
107588,67
152450,0
97872,531
269009,125
123889,86
205875,2
24714,231
266406,8
233642,1579
137143,1
143950,142
